ablation,n,positives,positive_rate,pr_auc,roc_auc,threshold,balanced_accuracy,f1_positive,precision_positive,recall_positive,tn,fp,fn,tp
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.155,0.49030883919062834,0.03125,0.029411764705882353,0.03333333333333333,593,33,29,1
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.16,0.476038338658147,0.0,0.0,0.0,596,30,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.165,0.4784345047923323,0.0,0.0,0.0,599,27,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.17,0.48242811501597443,0.0,0.0,0.0,604,22,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.17500000000000002,0.4840255591054313,0.0,0.0,0.0,606,20,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.18,0.48482428115015974,0.0,0.0,0.0,607,19,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.185,0.48642172523961663,0.0,0.0,0.0,609,17,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.19,0.48801916932907347,0.0,0.0,0.0,611,15,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.195,0.49121405750798725,0.0,0.0,0.0,615,11,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.2,0.49201277955271566,0.0,0.0,0.0,616,10,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.20500000000000002,0.49201277955271566,0.0,0.0,0.0,616,10,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.21,0.4936102236421725,0.0,0.0,0.0,618,8,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.215,0.49440894568690097,0.0,0.0,0.0,619,7,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.22,0.49440894568690097,0.0,0.0,0.0,619,7,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.225,0.4952076677316294,0.0,0.0,0.0,620,6,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.23,0.4968051118210863,0.0,0.0,0.0,622,4,30,0
eeg_only,656,30,0.04573170731707317,0.061673669405987626,0.5559637912673056,0.23500000000000001,0.4968051118210863,0.0,0.0,0.0,622,4,30,0
