id,session_id,user_id,experiment_group,event_type,event_data,page_url,timestamp,relative_t_ms,created_at
980,d63f258f-d166-466a-9c28-4314e59d1f24,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766739218510}}",http://localhost:3000/,1766739218537,,2025-12-26 08:53:38
981,d63f258f-d166-466a-9c28-4314e59d1f24,10,variant_a,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766739217504,,2025-12-26 08:53:40
982,d6429618-6f0c-413b-bb2f-0e1154453307,,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766739223076,,2025-12-26 08:53:46
983,d6429618-6f0c-413b-bb2f-0e1154453307,,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766739322430,,2025-12-26 08:55:25
984,d6429618-6f0c-413b-bb2f-0e1154453307,,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766743117131,,2025-12-26 09:58:40
985,a56becab-504b-4c8c-b4ca-cb713dde2d09,12,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766743182055,,2025-12-26 09:59:45
986,ccb208d3-1978-4383-9bf0-58f127e93aa0,,control,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766743189569,,2025-12-26 09:59:52
987,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743251932}}",http://localhost:3000/,1766743252031,,2025-12-26 10:00:52
988,3e735bad-5746-4afa-a7ea-81f929178658,13,variant_c,page_view,"{""url"":""http://localhost:3000/""}",http://localhost:3000/,1766743250919,,2025-12-26 10:00:53
989,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":4,""status"":""triggered"",""details"":{""name"":""Button Delay"",""type"":""button_delay"",""timestamp"":1766743303930}}",http://localhost:3000/product/19,1766743303955,,2025-12-26 10:01:44
990,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":5,""status"":""triggered"",""details"":{""name"":""First Click Miss"",""type"":""first_click_miss"",""timestamp"":1766743356928}}",http://localhost:3000/cart,1766743356952,,2025-12-26 10:02:37
991,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":12,""status"":""triggered"",""details"":{""name"":""Coupon Expired"",""type"":""coupon_expired"",""timestamp"":1766743407924}}",http://localhost:3000/cart,1766743407932,,2025-12-26 10:03:28
992,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":6,""status"":""triggered"",""details"":{""name"":""Feedback Late"",""type"":""feedback_late"",""timestamp"":1766743458921}}",http://localhost:3000/product/34,1766743458940,,2025-12-26 10:04:19
993,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":12,""status"":""triggered"",""details"":{""name"":""Coupon Expired"",""type"":""coupon_expired"",""timestamp"":1766743511933}}",http://localhost:3000/cart,1766743511952,,2025-12-26 10:05:12
994,3e735bad-5746-4afa-a7ea-81f929178658,,,SCENARIO_TRIGGERED,"{""scenarioId"":16,""status"":""triggered"",""details"":{""name"":""Network Jitter"",""type"":""network_jitter"",""timestamp"":1766743562923}}",http://localhost:3000/checkout,1766743562936,,2025-12-26 10:06:03
