metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects
wpli,broken_image,beta,frontal_central,central,-0.013892736285924911,-0.7761759404240692,0.04827250401593717,0.6214799344923526,0.0546875,0.51953125,0.07960199004975124,decrease,False,9
wpli,broken_image,beta,frontal_central,parietal,-0.0009154379367828369,-0.05900204176247111,0.8639028543597932,0.9805866115315008,0.91015625,0.9556640625,0.8955223880597015,decrease,False,9
wpli,broken_image,beta,frontal_central,occipital,-0.006487869657576084,-0.2662725689423698,0.44746036948503376,0.8542425235623371,0.42578125,0.8128551136363636,0.38308457711442784,decrease,False,9
wpli,broken_image,beta,frontal_central,temporal,0.0006363557185977697,0.04960914063277655,0.8853730239994742,0.9805866115315008,0.91015625,0.9556640625,0.8905472636815921,increase,False,9
wpli,broken_image,beta,central,central,-0.013090676628053188,-0.3601437226888435,0.311442213855863,0.8479670876120178,0.30078125,0.78955078125,0.27860696517412936,decrease,False,9
wpli,broken_image,beta,central,parietal,-0.0036965077742934227,-0.23953514527358732,0.4928354031382798,0.8624619554919897,0.359375,0.8128551136363636,0.48258706467661694,decrease,False,9
wpli,broken_image,beta,central,occipital,-0.0060184430330991745,-0.1841808173264726,0.5956730825921095,0.8935096238881642,0.734375,0.9556640625,0.5970149253731343,decrease,False,9
wpli,broken_image,beta,central,temporal,0.0027339027728885412,0.13401517366738447,0.6981780277262148,0.9774492388167008,0.5703125,0.9212740384615384,0.5870646766169154,increase,False,9
wpli,broken_image,beta,parietal,parietal,0.0014174713287502527,0.045897031645598406,0.8938870448483184,0.9805866115315008,0.8203125,0.9556640625,0.8706467661691543,increase,False,9
wpli,broken_image,beta,parietal,occipital,-0.004929181654006243,-0.2081389324894346,0.5497424351158863,0.8880454721102778,0.734375,0.9556640625,0.5124378109452736,decrease,False,9
wpli,broken_image,beta,parietal,temporal,0.00011803375673480332,0.008368128045673133,0.9805866115315008,0.9805866115315008,0.734375,0.9556640625,0.9800995024875622,increase,False,9
wpli,broken_image,beta,occipital,occipital,0.00384525116533041,0.09415615803326292,0.7847547202424607,0.9805866115315008,1.0,1.0,0.8009950248756219,increase,False,9
wpli,broken_image,beta,occipital,temporal,-0.008862297050654888,-0.38072437341060117,0.2864125187548721,0.8479670876120178,0.203125,0.78955078125,0.3034825870646766,decrease,False,9
wpli,broken_image,beta,temporal,temporal,-0.013721250928938389,-0.6924567515124336,0.07140646635948406,0.6214799344923526,0.0546875,0.51953125,0.05970149253731343,decrease,False,9
wpli,broken_image,gamma,frontal,frontal,-0.014819066040217876,-0.24970649752618732,0.47523292517483884,0.9295135330905729,0.203125,1.0,0.44776119402985076,decrease,False,9
wpli,broken_image,gamma,frontal,frontal_central,0.0057191913947463036,0.24075488391682873,0.49070265273736635,0.9295135330905729,0.5703125,1.0,0.4975124378109453,increase,False,9
wpli,broken_image,gamma,frontal,central,-0.003357446752488613,-0.09621723845752655,0.7801859619101317,0.9427245938231477,0.734375,1.0,0.7960199004975125,decrease,False,9
wpli,broken_image,gamma,frontal,parietal,-0.012707729823887348,-0.38209166160549485,0.2848086194522021,0.9217271031437393,0.5703125,1.0,0.2885572139303483,decrease,False,9
wpli,broken_image,gamma,frontal,occipital,-0.017249150201678276,-0.503466953374511,0.16938424148977485,0.9217271031437393,0.203125,1.0,0.19900497512437812,decrease,False,9
wpli,broken_image,gamma,frontal,temporal,-0.007508105598390102,-0.2213646237302522,0.5253039300199424,0.9295135330905729,0.5703125,1.0,0.5522388059701493,decrease,False,9
wpli,broken_image,gamma,frontal_central,frontal_central,0.012918038293719292,0.375692723903579,0.29237772653810556,0.9217271031437393,0.30078125,1.0,0.3333333333333333,increase,False,9
wpli,broken_image,gamma,frontal_central,central,-0.022330978885293007,-0.6047388157407366,0.10719687260838871,0.9217271031437393,0.12890625,1.0,0.11442786069651742,decrease,False,9
wpli,broken_image,gamma,frontal_central,parietal,-0.006222774740308523,-0.3635028015572556,0.30724236771457974,0.9217271031437393,0.734375,1.0,0.30845771144278605,decrease,False,9
wpli,broken_image,gamma,frontal_central,occipital,0.005818711593747139,0.11635665633211466,0.7360464929498501,0.9427245938231477,1.0,1.0,0.7711442786069652,increase,False,9
wpli,broken_image,gamma,frontal_central,temporal,0.007161855697631836,0.197690570331012,0.569515350942824,0.9295135330905729,1.0,1.0,0.6218905472636815,increase,False,9
wpli,broken_image,gamma,central,central,-0.023048635572195053,-0.25243595095129157,0.47058029754753095,0.9295135330905729,0.359375,1.0,0.48756218905472637,decrease,False,9
