interpretation_status,scenario,metric,band,connection,network_category,direction,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,n_subjects,reliability_flag
exploratory_trend,first_click_miss,aec,theta,frontal-temporal,other,increase,0.0412227697670459,1.047476172462002,0.0210240448898904,0.1629215899723683,0.0390625,0.1276041666666666,0.0497512437810945,8,usable_n
exploratory_trend,first_click_miss,aec,theta,frontal-central,other,increase,0.0334457196295261,0.979051464410537,0.0277269899141016,0.1629215899723683,0.0390625,0.1276041666666666,0.0248756218905472,8,usable_n
exploratory_trend,first_click_miss,aec,theta,parietal-temporal,parietal_temporal,increase,0.0472119748592376,0.9068707535141904,0.0372777572215793,0.1629215899723683,0.0546875,0.1276041666666666,0.0696517412935323,8,usable_n
exploratory_trend,first_click_miss,aec,theta,frontal_central-temporal,other,increase,0.0352891087532043,0.8828934511461751,0.0411605236398609,0.1629215899723683,0.0546875,0.1276041666666666,0.0796019900497512,8,usable_n
exploratory_trend,first_click_miss,aec,theta,central-parietal,other,increase,0.0434953458607196,0.8412091062506856,0.0489325501704855,0.1629215899723683,0.0390625,0.1276041666666666,0.0646766169154228,8,usable_n
exploratory_trend,button_delay,aec,gamma,central-central,other,decrease,-0.034832514822483,-1.2257267444247724,0.0176211154154787,0.1850217118625266,0.03125,0.328125,0.0746268656716417,7,usable_n
exploratory_trend,coupon_min_spend,wpli,alpha,frontal-frontal,other,increase,0.024332633242011,0.9821225317357573,0.018528307098037,0.2039678496019784,0.0078125,0.1640625,0.0199004975124378,9,usable_n
exploratory_trend,coupon_min_spend,wpli,alpha,frontal_central-temporal,other,increase,0.0273708272725343,0.9658709234728364,0.0199646544503289,0.2039678496019784,0.0390625,0.2734375,0.0248756218905472,9,usable_n
exploratory_trend,coupon_min_spend,wpli,alpha,frontal-temporal,other,increase,0.0248714592307806,0.8789454576902935,0.0298595923842299,0.2039678496019784,0.0390625,0.2734375,0.0199004975124378,9,usable_n
exploratory_trend,button_delay,wpli,theta,frontal_central-temporal,other,increase,0.0219119917601346,1.3891420238099532,0.0103882513124385,0.2181532775612098,0.015625,0.328125,0.0149253731343283,7,usable_n
exploratory_trend,button_delay,aec,beta,temporal-temporal,other,decrease,-0.0346977822482585,-1.056659971661442,0.0313427441601413,0.2193992091209891,0.03125,0.1640625,0.0199004975124378,7,usable_n
exploratory_trend,first_click_miss,aec,beta,frontal_central-central,sensorimotor,increase,0.0194792635738849,0.9259137669876436,0.0344652984639528,0.2412570892476697,0.0390625,0.2734375,0.0497512437810945,8,usable_n
exploratory_trend,facet_reset_once,aec,beta,occipital-occipital,visual_occipital,decrease,-0.0793092995882034,-1.1694609964991471,0.0212760494516811,0.2449500492079007,0.03125,0.328125,0.0597014925373134,7,usable_n
exploratory_trend,facet_reset_once,aec,beta,frontal-central,other,decrease,-0.0176323037594556,-1.1423138980953405,0.0233285761150381,0.2449500492079007,0.03125,0.328125,0.0348258706467661,7,usable_n
exploratory_trend,skeleton_prolong,wpli,theta,parietal-parietal,other,decrease,-0.0236518010497093,-0.8086622584031264,0.0414610150703978,0.2544029305505632,0.0546875,0.3896484375,0.0497512437810945,9,usable_n
exploratory_trend,skeleton_prolong,wpli,theta,occipital-occipital,visual_occipital,increase,0.0638685896992683,0.8082412310462282,0.0415427968463329,0.2544029305505632,0.09765625,0.41015625,0.0746268656716417,9,usable_n
exploratory_trend,facet_reset_once,wpli,beta,central-temporal,other,decrease,-0.014615318737924,-1.128323027348443,0.0244695777568759,0.2569305664471976,0.078125,0.41015625,0.0845771144278607,7,usable_n
exploratory_trend,first_click_miss,aec,gamma,central-parietal,sensorimotor,decrease,-0.0109530910849571,-0.9009844651292592,0.0381944317197456,0.258249066410205,0.0390625,0.2734375,0.0746268656716417,8,usable_n
exploratory_trend,coupon_min_spend,wpli,theta,frontal_central-frontal_central,other,increase,0.0390398576855659,0.8178911676193398,0.0397085829602367,0.2627805026349134,0.07421875,0.259765625,0.0348258706467661,9,usable_n
exploratory_trend,skeleton_prolong,aec,theta,frontal_central-parietal,fronto-parietal_control,decrease,-0.0498037673532962,-1.0075349163818044,0.0164939604231584,0.2662258734485205,0.01171875,0.24609375,0.0248756218905472,9,usable_n
exploratory_trend,skeleton_prolong,aec,theta,parietal-parietal,other,decrease,-0.0370682664215564,-0.8400199226709489,0.0358054447626983,0.2662258734485205,0.0546875,0.287109375,0.044776119402985,9,usable_n
exploratory_trend,skeleton_prolong,aec,theta,parietal-temporal,parietal_temporal,increase,0.0306852385401725,0.824226845290989,0.0385490166122547,0.2662258734485205,0.0546875,0.287109375,0.0149253731343283,9,usable_n
exploratory_trend,price_change,wpli,gamma,frontal-frontal,other,increase,0.01610092446208,1.9097098016878824,0.012947655599841,0.2719007675966618,0.0625,0.9375,0.0895522388059701,5,limited_n
exploratory_trend,sort_reset,aec,beta,frontal-frontal,other,decrease,-0.0305912643671035,-0.9006171359736821,0.0382524222825413,0.2981728981273817,0.0390625,0.41015625,0.0398009950248756,8,usable_n
exploratory_trend,sort_reset,aec,beta,central-parietal,sensorimotor,decrease,-0.0235806331038475,-0.8610942039778815,0.0450526493477764,0.2981728981273817,0.078125,0.41015625,0.0646766169154228,8,usable_n
exploratory_trend,slow_image,wpli,theta,frontal-temporal,other,increase,0.0272440537810325,1.0377501286277182,0.0143746498277373,0.3018676463824848,0.00390625,0.08203125,0.0099502487562189,9,usable_n
exploratory_trend,facet_reset_once,aec,theta,frontal-parietal,fronto-parietal_control,increase,0.0932696461677551,0.9391794986022256,0.0474932251320137,0.3138625806429302,0.015625,0.328125,0.0199004975124378,7,usable_n
exploratory_trend,facet_reset_once,wpli,gamma,frontal_central-parietal,other,decrease,-0.0187755059450864,-1.1440201391767133,0.0231934217086703,0.3239165270745152,0.03125,0.328125,0.0348258706467661,7,usable_n
exploratory_trend,facet_reset_once,wpli,gamma,frontal-temporal,other,decrease,-0.0191288497298955,-1.0610535450511565,0.0308663730140488,0.3239165270745152,0.015625,0.328125,0.0099502487562189,7,usable_n
exploratory_trend,skeleton_prolong,wpli,alpha,frontal-temporal,other,decrease,-0.0174584724009037,-1.019045121618785,0.0156505149596355,0.3286608141523467,0.02734375,0.287109375,0.0248756218905472,9,usable_n
exploratory_trend,coupon_min_spend,aec,gamma,central-occipital,visual_occipital,increase,0.0395433269441127,0.9119847990695906,0.0256089058991425,0.3314855139360469,0.0546875,0.57421875,0.044776119402985,9,usable_n
exploratory_trend,coupon_min_spend,aec,gamma,frontal-temporal,other,increase,0.0293951854109764,0.8669908843640713,0.0315700489462901,0.3314855139360469,0.02734375,0.57421875,0.0199004975124378,9,usable_n
exploratory_trend,slow_image,aec,theta,parietal-parietal,other,increase,0.0993959382176399,0.8583563320088552,0.0328674035963194,0.3580425591796879,0.0390625,0.4038461538461538,0.0497512437810945,9,usable_n
exploratory_trend,skeleton_prolong,wpli,beta,occipital-occipital,visual_occipital,decrease,-0.0352474488317966,-0.8380484026710204,0.0361368270123492,0.3794366836296669,0.0390625,0.41015625,0.0547263681592039,9,usable_n
exploratory_trend,feedback_late,aec,alpha,frontal_central-temporal,other,increase,0.0292390845715999,0.9681751599917972,0.0197541764412598,0.4148377052664566,0.02734375,0.57421875,0.0298507462686567,9,usable_n
exploratory_trend,skeleton_prolong,wpli,alpha,central-parietal,other,decrease,-0.0142044024541974,-0.8096174946361064,0.0412760655282335,0.433398688046452,0.0078125,0.1640625,0.0049751243781094,9,usable_n
exploratory_trend,sort_reset,wpli,alpha,frontal_central-parietal,other,increase,0.0107698999345302,1.0475502713211968,0.0210177918157135,0.4413736281299842,0.0390625,0.75,0.0547263681592039,8,usable_n
exploratory_trend,facet_reset_once,wpli,alpha,frontal_central-occipital,visual_occipital,decrease,-0.018615236505866,-1.0378844998061605,0.0334692686127034,0.4586818252325407,0.046875,0.57421875,0.0646766169154228,7,usable_n
exploratory_trend,facet_reset_once,wpli,alpha,frontal_central-frontal_central,other,decrease,-0.0157290529459714,-0.9625652501598956,0.04368398335548,0.4586818252325407,0.078125,0.57421875,0.0696517412935323,7,usable_n
exploratory_trend,network_jitter,aec,gamma,frontal-frontal_central,other,decrease,-0.0136383045464754,-0.8371437122124123,0.0362899360545021,0.4639536752274986,0.0546875,0.54140625,0.0597014925373134,9,usable_n
exploratory_trend,broken_image,wpli,theta,central-temporal,other,increase,0.0232499074190855,0.8797414428195052,0.0297491233637414,0.4782078105358534,0.0390625,0.41015625,0.0298507462686567,9,usable_n
exploratory_trend,sort_reset,aec,alpha,temporal-temporal,other,increase,0.1014992743730545,1.0238949395956645,0.0231170620585776,0.4854583032301314,0.0390625,0.8203125,0.0547263681592039,8,usable_n
exploratory_trend,skeleton_prolong,aec,beta,central-parietal,sensorimotor,decrease,-0.033840175718069,-0.931835333793884,0.0233591275437736,0.4905416784192463,0.01953125,0.41015625,0.0248756218905472,9,usable_n
exploratory_trend,first_click_miss,wpli,alpha,frontal_central-parietal,other,increase,0.0096463859081268,0.9536128473763162,0.0307623393217056,0.5250904293904218,0.0546875,0.546875,0.044776119402985,8,usable_n
exploratory_trend,first_click_miss,wpli,theta,parietal-parietal,other,decrease,-0.0138297602534294,-0.952134614976174,0.0309490708232853,0.5302139023008016,0.0390625,0.765625,0.0497512437810945,8,usable_n
exploratory_trend,slow_image,aec,beta,parietal-temporal,parietal_temporal,decrease,-0.0193234905600547,-0.8970016431473954,0.0274538592046509,0.5432200494326558,0.0390625,0.6316406250000001,0.0547263681592039,9,usable_n
exploratory_trend,skeleton_prolong,aec,gamma,frontal_central-central,sensorimotor,decrease,-0.0288219321519136,-0.804843582093232,0.0422087352644088,0.5449389241176915,0.0546875,0.6767578125,0.0597014925373134,9,usable_n
exploratory_trend,feedback_late,wpli,gamma,frontal_central-central,sensorimotor,increase,0.0125516457483172,0.8743987291960678,0.0304987015273903,0.5658729110562799,0.0390625,0.57421875,0.0547263681592039,9,usable_n
exploratory_trend,feedback_late,aec,theta,temporal-temporal,other,increase,0.0502801351249218,0.8773992062189968,0.0300753846137023,0.5939207411259243,0.07421875,0.5833333333333334,0.0248756218905472,9,usable_n
exploratory_trend,button_delay,wpli,alpha,frontal_central-parietal,other,increase,0.0137249529361724,0.9680142245159198,0.0428437389814708,0.6095146174705736,0.03125,0.546875,0.0298507462686567,7,usable_n
exploratory_trend,network_jitter,wpli,beta,frontal-parietal,fronto-parietal_control,decrease,-0.006599495653063,-0.8812879483732263,0.0295356938565701,0.6202495709879728,0.02734375,0.57421875,0.0398009950248756,9,usable_n
exploratory_trend,feedback_late,wpli,beta,frontal_central-central,sensorimotor,increase,0.0053739976137876,0.8422685708995444,0.035431248910935,0.7440562271296368,0.01953125,0.41015625,0.0298507462686567,9,usable_n
exploratory_trend,facet_reset_once,aec,alpha,frontal_central-temporal,other,increase,0.0424871817231178,0.9275092599857552,0.0495238664459966,0.9421934181344138,0.078125,1.0,0.0696517412935323,7,usable_n
