metric,scenario,band,roi_a,roi_b,delta_mean,cohens_d,t_p_raw,t_p_fdr,wilcoxon_p_raw,wilcoxon_p_fdr,perm_p_raw,direction,significant,n_subjects,connection,abs_d,network_category,reliability_flag,permutation_support
aec,network_jitter,theta,frontal,temporal,0.0464471243321895,0.9176975534302932,0.0249394705698805,0.0872881469945818,0.0390625,0.13671875,0.044776119402985,increase,False,9,frontal-temporal,0.9176975534302932,other,usable_n,True
aec,coupon_min_spend,alpha,occipital,temporal,0.0921110361814498,0.9122499460758968,0.0255774353485811,0.1431963570397531,0.00390625,0.08203125,0.0099502487562189,increase,False,9,occipital-temporal,0.9122499460758968,visual_occipital,usable_n,True
aec,coupon_min_spend,gamma,central,occipital,0.0395433269441127,0.9119847990695906,0.0256089058991425,0.3314855139360469,0.0546875,0.57421875,0.044776119402985,increase,False,9,central-occipital,0.9119847990695906,visual_occipital,usable_n,True
aec,sort_reset,beta,frontal,frontal,-0.0305912643671035,-0.9006171359736821,0.0382524222825413,0.2981728981273817,0.0390625,0.41015625,0.0398009950248756,decrease,False,8,frontal-frontal,0.9006171359736821,other,usable_n,True
wpli,feedback_late,theta,frontal_central,central,0.0167219433933496,0.8984608482651808,0.0272683373272898,0.106104844053031,0.0390625,0.1171875,0.0298507462686567,increase,False,9,frontal_central-central,0.8984608482651808,other,usable_n,True
wpli,network_jitter,beta,frontal,parietal,-0.006599495653063,-0.8812879483732263,0.0295356938565701,0.6202495709879728,0.02734375,0.57421875,0.0398009950248756,decrease,False,9,frontal-parietal,0.8812879483732263,fronto-parietal_control,usable_n,True
wpli,broken_image,theta,central,temporal,0.0232499074190855,0.8797414428195052,0.0297491233637414,0.4782078105358534,0.0390625,0.41015625,0.0298507462686567,increase,False,9,central-temporal,0.8797414428195052,other,usable_n,True
wpli,feedback_late,theta,frontal,occipital,0.0158763006329536,0.8794743704649058,0.029786135105866,0.106104844053031,0.02734375,0.1171875,0.0199004975124378,increase,False,9,frontal-occipital,0.8794743704649058,visual_occipital,usable_n,True
wpli,coupon_min_spend,alpha,frontal,temporal,0.0248714592307806,0.8789454576902935,0.0298595923842299,0.2039678496019784,0.0390625,0.2734375,0.0199004975124378,increase,False,9,frontal-temporal,0.8789454576902935,other,usable_n,True
aec,feedback_late,theta,temporal,temporal,0.0502801351249218,0.8773992062189968,0.0300753846137023,0.5939207411259243,0.07421875,0.5833333333333334,0.0248756218905472,increase,False,9,temporal-temporal,0.8773992062189968,other,usable_n,True
wpli,feedback_late,theta,frontal,parietal,0.0215486250817775,0.8677640833551769,0.0314564641080221,0.106104844053031,0.0546875,0.1435546875,0.0348258706467661,increase,False,9,frontal-parietal,0.8677640833551769,fronto-parietal_control,usable_n,True
aec,coupon_min_spend,gamma,frontal,temporal,0.0293951854109764,0.8669908843640713,0.0315700489462901,0.3314855139360469,0.02734375,0.57421875,0.0199004975124378,increase,False,9,frontal-temporal,0.8669908843640713,other,usable_n,True
aec,slow_image,theta,parietal,parietal,0.0993959382176399,0.8583563320088552,0.0328674035963194,0.3580425591796879,0.0390625,0.4038461538461538,0.0497512437810945,increase,False,9,parietal-parietal,0.8583563320088552,other,usable_n,True
wpli,feedback_late,beta,frontal_central,central,0.0053739976137876,0.8422685708995444,0.035431248910935,0.7440562271296368,0.01953125,0.41015625,0.0298507462686567,increase,False,9,frontal_central-central,0.8422685708995444,sensorimotor,usable_n,True
aec,skeleton_prolong,theta,parietal,parietal,-0.0370682664215564,-0.8400199226709489,0.0358054447626983,0.2662258734485205,0.0546875,0.287109375,0.044776119402985,decrease,False,9,parietal-parietal,0.8400199226709489,other,usable_n,True
wpli,feedback_late,theta,central,parietal,0.0228661522269248,0.8263333630791473,0.0381711165423623,0.106104844053031,0.0390625,0.1171875,0.0398009950248756,increase,False,9,central-parietal,0.8263333630791473,other,usable_n,True
aec,skeleton_prolong,theta,parietal,temporal,0.0306852385401725,0.824226845290989,0.0385490166122547,0.2662258734485205,0.0546875,0.287109375,0.0149253731343283,increase,False,9,parietal-temporal,0.824226845290989,parietal_temporal,usable_n,True
aec,coupon_min_spend,alpha,frontal_central,temporal,0.0639207735657692,0.819026197179093,0.0394983088021236,0.1431963570397531,0.0546875,0.1708984375,0.0348258706467661,increase,False,9,frontal_central-temporal,0.819026197179093,other,usable_n,True
wpli,coupon_min_spend,theta,frontal_central,frontal_central,0.0390398576855659,0.8178911676193398,0.0397085829602367,0.2627805026349134,0.07421875,0.259765625,0.0348258706467661,increase,False,9,frontal_central-frontal_central,0.8178911676193398,other,usable_n,True
wpli,feedback_late,theta,frontal_central,frontal_central,0.0156192909926176,0.8154990540396665,0.0401555110877971,0.106104844053031,0.0390625,0.1171875,0.0398009950248756,increase,False,9,frontal_central-frontal_central,0.8154990540396665,other,usable_n,True
wpli,feedback_late,theta,parietal,temporal,0.0209412015974521,0.8140912490687775,0.0404208929725832,0.106104844053031,0.0390625,0.1171875,0.0149253731343283,increase,False,9,parietal-temporal,0.8140912490687775,parietal_temporal,usable_n,True
wpli,skeleton_prolong,alpha,central,parietal,-0.0142044024541974,-0.8096174946361064,0.0412760655282335,0.433398688046452,0.0078125,0.1640625,0.0049751243781094,decrease,False,9,central-parietal,0.8096174946361064,other,usable_n,True
wpli,skeleton_prolong,theta,parietal,parietal,-0.0236518010497093,-0.8086622584031264,0.0414610150703978,0.2544029305505632,0.0546875,0.3896484375,0.0497512437810945,decrease,False,9,parietal-parietal,0.8086622584031264,other,usable_n,True
wpli,price_change,gamma,frontal,frontal,0.01610092446208,1.9097098016878824,0.012947655599841,0.2719007675966618,0.0625,0.9375,0.0895522388059701,increase,False,5,frontal-frontal,1.9097098016878824,other,limited_n,False
aec,button_delay,gamma,central,central,-0.034832514822483,-1.2257267444247724,0.0176211154154787,0.1850217118625266,0.03125,0.328125,0.0746268656716417,decrease,False,7,central-central,1.2257267444247724,other,usable_n,False
aec,facet_reset_once,beta,occipital,occipital,-0.0793092995882034,-1.1694609964991471,0.0212760494516811,0.2449500492079007,0.03125,0.328125,0.0597014925373134,decrease,False,7,occipital-occipital,1.1694609964991471,visual_occipital,usable_n,False
wpli,facet_reset_once,beta,central,temporal,-0.014615318737924,-1.128323027348443,0.0244695777568759,0.2569305664471976,0.078125,0.41015625,0.0845771144278607,decrease,False,7,central-temporal,1.128323027348443,other,usable_n,False
wpli,sort_reset,alpha,frontal_central,parietal,0.0107698999345302,1.0475502713211968,0.0210177918157135,0.4413736281299842,0.0390625,0.75,0.0547263681592039,increase,False,8,frontal_central-parietal,1.0475502713211968,other,usable_n,False
wpli,facet_reset_once,alpha,frontal_central,occipital,-0.018615236505866,-1.0378844998061605,0.0334692686127034,0.4586818252325407,0.046875,0.57421875,0.0646766169154228,decrease,False,7,frontal_central-occipital,1.0378844998061605,visual_occipital,usable_n,False
aec,sort_reset,alpha,temporal,temporal,0.1014992743730545,1.0238949395956645,0.0231170620585776,0.4854583032301314,0.0390625,0.8203125,0.0547263681592039,increase,False,8,temporal-temporal,1.0238949395956645,other,usable_n,False
wpli,facet_reset_once,alpha,frontal_central,frontal_central,-0.0157290529459714,-0.9625652501598956,0.04368398335548,0.4586818252325407,0.078125,0.57421875,0.0696517412935323,decrease,False,7,frontal_central-frontal_central,0.9625652501598956,other,usable_n,False
aec,facet_reset_once,alpha,frontal_central,temporal,0.0424871817231178,0.9275092599857552,0.0495238664459966,0.9421934181344138,0.078125,1.0,0.0696517412935323,increase,False,7,frontal_central-temporal,0.9275092599857552,other,usable_n,False
aec,first_click_miss,theta,parietal,temporal,0.0472119748592376,0.9068707535141904,0.0372777572215793,0.1629215899723683,0.0546875,0.1276041666666666,0.0696517412935323,increase,False,8,parietal-temporal,0.9068707535141904,parietal_temporal,usable_n,False
aec,first_click_miss,gamma,central,parietal,-0.0109530910849571,-0.9009844651292592,0.0381944317197456,0.258249066410205,0.0390625,0.2734375,0.0746268656716417,decrease,False,8,central-parietal,0.9009844651292592,sensorimotor,usable_n,False
aec,slow_image,beta,parietal,temporal,-0.0193234905600547,-0.8970016431473954,0.0274538592046509,0.5432200494326558,0.0390625,0.6316406250000001,0.0547263681592039,decrease,False,9,parietal-temporal,0.8970016431473954,parietal_temporal,usable_n,False
